NeSa,S_d,b,model,number,pa,product
63.70954,-42.47078,0.96047,Exp.Nes100_dDFE.Exponential/,10,0.00423,0.2694913542
88.24686,-42.83314,0.93995,Exp.Nes100_dDFE.Exponential/,330,0.00296,0.2612107056
57.37868,-40.94494,0.98684,Exp.Nes100_dDFE.Exponential/,49,0.00471,0.2702535828
98.12117,-38.80781,1.02334,Exp.Nes100_dDFE.Exponential/,533,0.00288,0.2825889696
66.85647,-40.94768,0.9995,Exp.Nes100_dDFE.Exponential/,628,0.00412,0.2754486564
89.06773,-45.16477,0.88065,Exp.Nes100_dDFE.Exponential/,339,0.003,0.26720319
75.39987,-46.00201,0.92066,Exp.Nes100_dDFE.Exponential/,592,0.00356,0.2684235372
84.96179,-42.72875,0.94807,Exp.Nes100_dDFE.Exponential/,413,0.0032,0.271877728
48.23198,-38.48855,1.04615,Exp.Nes100_dDFE.Exponential/,752,0.00573,0.2763692454
90.2194,-43.05685,0.96613,Exp.Nes100_dDFE.Exponential/,762,0.0031,0.27968014
79.91756,-38.29158,1.06062,Exp.Nes100_dDFE.Exponential/,617,0.00348,0.2781131088
99.42074,-41.98645,0.94123,Exp.Nes100_dDFE.Exponential/,510,0.00271,0.2694302054
94.37173,-39.55532,1.03841,Exp.Nes100_dDFE.Exponential/,173,0.00294,0.2774528862
